"","size_factors"
"910",1.70481615254457
"911",1.69465934353423
"912",1.55782301751009
"913",1.58675128373308
"914",1.62586630538601
"915",1.70373350242577
"916",1.72097121666208
"917",1.63951715146174
"918",1.64429847439861
"919",1.65402182612207
"920",1.8103387598549
"921",1.71033736819334
"922",1.72872779608324
"923",1.70126308267901
"924",1.58090532564806
"925",1.56508149558676
"926",1.76271551427146
"927",1.74079252615895
"928",1.38221919664918
"929",1.58611208322338
"930",1.69965092251263
"931",1.68753834842175
"932",1.731989371621
"933",1.38106969097981
"934",1.6474215399427
"935",1.71186919525551
"936",1.65418847799631
"937",1.77205228371518
"938",1.69295815485918
"939",1.64077168046142
"940",1.61929737426749
"941",1.71016805304347
"942",1.61687846997266
"943",1.69707275440451
"944",1.76455762314217
"945",1.68134853678624
"946",1.53033778996989
"947",1.64853524448543
"948",1.68836534873941
"949",1.66979793358621
"950",1.70087334711617
"951",1.66993753463104
"952",1.84888018772057
"953",1.67045778202032
"954",1.50783755044098
"955",1.67778174615004
"956",1.59228107627229
"957",1.53718600070319
"958",1.66592264442826
"959",1.67136434676925
"960",1.61945198771458
"961",1.73360913079026
"962",1.64716965194117
"963",1.59232573814178
"964",1.6292200735519
"965",1.61349167051722
"966",1.6325575976738
"967",1.65510274078144
"968",1.62698990856191
"969",1.54247229949208
"970",1.72247277511598
"971",1.71583020146287
"972",1.54241589526528
"973",1.6132760555661
"974",1.59011025782755
"975",1.7248195394313
"976",1.55875002574502
"977",1.57578069670801
"978",1.66533591651007
"979",1.79823731028828
"980",1.64839911968292
"981",1.6037993180406
"982",1.73411753153676
"983",1.69160013291547
"984",1.75180397787833
"985",1.65876914519713
"986",1.65093498624706
"987",1.65663381600418
"988",1.64423241809332
"989",1.6607079403968
"990",1.67892928734448
"991",1.64684209113397
"992",1.69904299741674
"993",1.628528211346
"994",1.72075439055043
"995",1.67058430943744
"996",1.67849794339072
"997",1.62924106880443
"998",1.49173527289008
"999",1.72144094858314
"1000",1.75574693455404
"1001",1.73330701165146
"1002",1.52321580450932
"1003",1.6409721750282
"1004",1.72440500315936
"1005",1.74014825546223
"1006",1.61961185396916
"1007",1.79320109112965
"1008",1.63520457861489
"1009",1.65332346561573
"1010",1.69256028389896
"1011",1.49375497080787
"1012",1.44550854172339
"1013",1.57275235619168
"1014",1.53093664123286
"1015",1.77792168657879
"1016",1.6519545740305
"1017",1.15767698908108
"1018",1.70740043976253
"1019",1.75107358671076
"1020",1.7181485621232
"1021",1.72472470994091
"1022",1.68696932646013
"1023",1.80157694567814
"1024",1.62596340259057
"1025",1.67520039970349
"1026",1.65417692065194
"1027",1.56825534842063
"1028",1.71473731375421
"1029",1.60580462968415
"1030",1.62226783465413
"1031",1.70675450414345
"1032",1.70101699186763
"1033",1.59173268409271
"1034",1.68565729294078
"1035",1.75258938925517
"1036",1.75870610046593
"1037",1.67469635961122
"1038",1.60734178766154
"1039",1.69942485086835
"1040",1.71561515230867
"1041",1.64617727813324
"1042",1.64427283436538
"1043",1.67627793826657
"1044",1.68133707507781
"1045",1.836206052127
"1046",1.83183002678939
"1047",1.57790392034605
"1048",1.70127312724311
"1049",1.70841518341428
"1050",1.17569279726761
"1051",1.57886736537905
"1052",1.63672269020939
"1053",1.63118752534235
"1054",1.70270463143249
"1055",1.72218060949405
"1056",1.52746991162229
"1057",1.00409233349237
"1058",1.74712864799259
"1059",1.59415474232888
"1060",1.54220271681058
"1061",1.62404322414098
"1062",1.65456887960483
"1063",1.53333983954643
"1064",1.67134811315414
"1065",1.66967893319064
"1066",1.57703669947347
"1067",1.68717474768521
"1068",1.6436098234191
"1069",1.6219418610692
"1070",1.74798507917309
"1071",1.62433113760392
"1072",1.61108869626622
"1073",1.68501901205085
"1074",1.47248704993275
"1075",1.71441754601978
"1076",1.65915631349639
"1077",1.66832343631283
"1078",1.78696272653436
"1079",1.7091181521064
"1080",1.62601945679046
"1081",1.62114354403266
"1082",1.57371724040485
"1083",0.921306437434232
"1084",1.59582595835477
"1085",1.62152539873463
"1086",1.77641748381808
"1087",1.59597880101927
"1088",1.65781521505004
"1089",1.69297195542214
"1090",1.63522729264339
"1091",1.64677840149424
