,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
LOC100576304,LOC100576304,Gene Expression,A_mel_mkref_out,False,113,0.005605809657281182,0.005590155581588729,99.52010871873274,132.0,4.890349128221754,107
LOC408892,LOC408892,Gene Expression,A_mel_mkref_out,False,1047,0.05045228691553064,0.04922082086688558,95.55357370365651,1188.0,7.080867896690782,1004
LOC413046,LOC413046,Gene Expression,A_mel_mkref_out,False,5089,0.3462012145920924,0.29728671083154634,78.38790504098186,8152.0,9.006141236662911,4947
LOC409899,LOC409899,Gene Expression,A_mel_mkref_out,False,2354,0.12528135218923855,0.11803309522376236,90.00297277784856,2950.0,7.989899374942939,2232
LOC102654387,LOC102654387,Gene Expression,A_mel_mkref_out,False,80,0.0035673334182698435,0.003560985576510627,99.66025396016478,84.0,4.442651256490317,76
LOC113218855,LOC113218855,Gene Expression,A_mel_mkref_out,False,60,0.0026330318087229797,0.0026295714532898052,99.74519047012357,62.0,4.143134726391533,59
LOC113218886,LOC113218886,Gene Expression,A_mel_mkref_out,False,270,0.012358262199006242,0.012282522247730557,98.85335711555612,291.0,5.676753802268282,254
LOC102655219,LOC102655219,Gene Expression,A_mel_mkref_out,False,771,0.03448422304327515,0.03390296728317869,96.72569754108804,812.0,6.70073110954781,737
LOC102653863,LOC102653863,Gene Expression,A_mel_mkref_out,False,432,0.04446426296343483,0.043504086937469176,98.1653713848898,1047.0,6.954638864880987,399
LOC725328,LOC725328,Gene Expression,A_mel_mkref_out,False,5187,0.4661740349089056,0.38265631054462484,77.97171614218372,10977.0,9.303648549109834,5016
LOC409448,LOC409448,Gene Expression,A_mel_mkref_out,False,383,0.02021488937019578,0.020013280960271693,98.37346583428887,476.0,6.1675164908883415,351
LOC100578585,LOC100578585,Gene Expression,A_mel_mkref_out,False,450,0.020427230645092793,0.020221393175128662,98.08892852592686,481.0,6.1779441140506,429
