"","deviance"
"LOC102654917",18683.2502560414
"LOC726468",41297.9371497321
"LOC551154",100148.776596917
"LOC100578820",48132.8627617867
"LOC102655819",2067.58803158445
"LOC100577118",130385.910012269
"cad",3623.03632704241
"LOC100578005",64230.4281433605
"LOC113219271",14858.8947119633
"LOC551111",58358.3844313067
"LOC102653777",5851.68273244261
"LOC725383",260367.003306912
"LOC552502",81105.6062274356
"LOC102656923",21297.8909104601
"LOC551321",55980.4493304405
"LOC724146",45037.0673761222
"LOC413784",238621.924370802
"LOC412949",201122.232974122
"LOC113219256",55563.1967980086
"LOC409100",73003.4369865743
"LOC113219089",7156.6372597736
"LOC107964114",844.580083745943
"LOC102655057",2775.42530517794
"LOC408579",132668.608909436
"LOC411600",73637.8279425093
"LOC725609",65261.1571452575
"LOC413735",37717.2736996256
"LOC102655530",34488.6006185812
"LOC102654358",27760.1303113245
"LOC113219394",25821.3031474933
"LOC408583",225417.937948061
"LOC412674",35730.3328145418
"LOC107965121",781.870344050719
"LOC100578104",1780.76499599405
"LOC102655243",364569.049116534
"LOC411927",34361.055877105
"LOC107965634",936.074265951481
"LOC100576454",70969.8037899098
"LOC113219344",6652.10973351611
"LOC410743",23852.426176907
"LOC727436",22236.8426411081
"LOC726238",492062.954081871
"LOC725320",67633.8317743704
"LOC102654496",3167.3679621351
"LOC411407",51966.9382314226
"LOC551494",91897.6380767424
"LOC102654367",2472.68908738758
"LOC102656491",71372.4837502893
"LOC726145",52249.8797572255
"LOC107964063",3682.4709948368
"LOC107965102",17885.46979673
"LOC107964025",241073.517092176
"LOC410741",216396.073257136
"LOC551585",15742.5590721566
"LOC552602",63128.8292762206
"LOC102655229",5335.1739099273
"LOC552052",65896.7747207264
"LOC100576885",68372.6601038413
"LOC102654365",70070.9304420978
"LOC113218641",282392.231952192
"LOC414021",262576.101363054
"LOC724993",13172.2123571135
"LOC100577977",61487.6647370489
"LOC412449",51182.779058578
"LOC551703",18190.8036507047
"LOC102654114",1778.66910374715
"LOC113219189",29600.4245494608
"LOC410115",59422.2089876839
"LOC102656816",40534.5024778204
"LOC409579",85957.4938786216
"LOC100576708",51828.8635519298
"LOC410665",45439.0462874292
"LOC113218825",2287.67480710952
"LOC409093",93218.1859337864
"LOC100578907",58458.1068837815
"LOC102653619",33018.9825763589
"LOC724279",56587.2036981558
"LOC551385",480803.151494204
"LOC552032",42316.9312053345
"LOC410775",94971.3179614279
"LOC113219398",28314.2783772606
"LOC409105",103560.424720459
"LOC413239",56153.3623659206
"LOC100577522",587084.046864081
"LOC102656214",12321.6169536291
"LOC102656327",20162.3887964508
"LOC551678",66723.6004421314
"LOC725415",353546.696963732
"LOC414022",93377.0673227028
"LOC726722",24440.0401813517
"LOC410791",740492.264730208
"LOC408576",1021164.40330509
"LOC551557",69044.7515757958
"LOC725818",5525.29374820454
"LOC411799",41965.5802876011
"LOC724539",14831.5074467919
"LOC726694",50141.1028270154
"LOC102655778",43197.3606735967
"LOC411965",30308.4060012069
"LOC724235",64688.2727489609
"LOC551157",70106.518264367
"LOC102656720",5913.06439958189
"LOC413649",31556.4656878852
"LOC408641",6706.00960110769
"LOC413577",186719.734685282
"LOC113219074",2103.8792447749
"LOC408603",15391.6335271978
"LOC726788",66449.0553725048
"LOC102653666",27532.9891063636
"LOC102654797",2235.3892213199
"LOC102655568",14544.9323681266
"LOC552549",59261.3895124465
"LOC410765",32098.0315009358
"ecd",77099.4076611833
"LOC413081",47459.7874022833
"LOC113219225",8249.62251457551
"LOC107966049",5618.9671495374
"LOC102656395",1975.62100663441
"LOC100577043",493.799968406889
"LOC408595",84806.9365129585
"LOC726235",54743.4223516412
"LOC413855",70572.1903944153
"LOC412319",52837.2843495216
"LOC410724",105374.775131531
"LOC410717",148276.983729075
"LOC100578882",123949.710332338
"LOC724625",89322.6742854258
"LOC724331",66466.6694576339
"LOC550948",50883.6875310942
"LOC725496",89187.9344322847
"LOC412436",85384.8532262873
"LOC411882",58426.7715095936
"LOC413754",60821.6949219847
"LOC551354",23419.3442774963
"LOC102655747",4864.59602262773
"LOC552185",88904.3127039776
"LOC411705",82819.8929464633
"LOC102654698",51381.6137772108
"LOC100578255",49038.476587642
"LOC107965571",3487.18985422345
