gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC410748,LOC410748,Gene Expression,A_mel_mkref_out,False,11673
LOC413631,LOC413631,Gene Expression,A_mel_mkref_out,False,8529
LOC551680,LOC551680,Gene Expression,A_mel_mkref_out,False,3485
LOC113219004,LOC113219004,Gene Expression,A_mel_mkref_out,False,13568
LOC410061,LOC410061,Gene Expression,A_mel_mkref_out,False,42426
LOC408618,LOC408618,Gene Expression,A_mel_mkref_out,False,77809
LOC726591,LOC726591,Gene Expression,A_mel_mkref_out,False,12807
LOC100577655,LOC100577655,Gene Expression,A_mel_mkref_out,False,68
LOC102656814,LOC102656814,Gene Expression,A_mel_mkref_out,False,4428
LOC726578,LOC726578,Gene Expression,A_mel_mkref_out,False,116
LOC552118,LOC552118,Gene Expression,A_mel_mkref_out,False,10056
LOC102654549,LOC102654549,Gene Expression,A_mel_mkref_out,False,298
LOC413834,LOC413834,Gene Expression,A_mel_mkref_out,False,57582
LOC102655391,LOC102655391,Gene Expression,A_mel_mkref_out,False,987
LOC409925,LOC409925,Gene Expression,A_mel_mkref_out,False,25887
LOC726431,LOC726431,Gene Expression,A_mel_mkref_out,False,23497
LOC408592,LOC408592,Gene Expression,A_mel_mkref_out,False,1868
LOC102653614,LOC102653614,Gene Expression,A_mel_mkref_out,False,6277
LOC408567,LOC408567,Gene Expression,A_mel_mkref_out,False,15563
LOC726325,LOC726325,Gene Expression,A_mel_mkref_out,False,37325
LOC113219389,LOC113219389,Gene Expression,A_mel_mkref_out,False,453
LOC100578883,LOC100578883,Gene Expression,A_mel_mkref_out,False,20584
LOC551381,LOC551381,Gene Expression,A_mel_mkref_out,False,37893
LOC726172,LOC726172,Gene Expression,A_mel_mkref_out,False,21579
LOC100576820,LOC100576820,Gene Expression,A_mel_mkref_out,False,195
LOC410727,LOC410727,Gene Expression,A_mel_mkref_out,False,18156
LOC100576537,LOC100576537,Gene Expression,A_mel_mkref_out,False,1551
LOC410719,LOC410719,Gene Expression,A_mel_mkref_out,False,10910
LOC408586,LOC408586,Gene Expression,A_mel_mkref_out,False,82649
LOC100577918,LOC100577918,Gene Expression,A_mel_mkref_out,False,1520
LOC724992,LOC724992,Gene Expression,A_mel_mkref_out,False,19080
LOC551732,LOC551732,Gene Expression,A_mel_mkref_out,False,13914
LOC413499,LOC413499,Gene Expression,A_mel_mkref_out,False,11960
LOC726178,LOC726178,Gene Expression,A_mel_mkref_out,False,69248
LOC107966053,LOC107966053,Gene Expression,A_mel_mkref_out,False,4179
LOC551671,LOC551671,Gene Expression,A_mel_mkref_out,False,6662
LOC724535,LOC724535,Gene Expression,A_mel_mkref_out,False,77342
LOC409620,LOC409620,Gene Expression,A_mel_mkref_out,False,21144
LOC552163,LOC552163,Gene Expression,A_mel_mkref_out,False,27577
LOC411351,LOC411351,Gene Expression,A_mel_mkref_out,False,20161
LOC100578901,LOC100578901,Gene Expression,A_mel_mkref_out,False,7886
LOC725460,LOC725460,Gene Expression,A_mel_mkref_out,False,76816
LOC102655034,LOC102655034,Gene Expression,A_mel_mkref_out,False,4948
LOC409189,LOC409189,Gene Expression,A_mel_mkref_out,False,28766
LOC107965033,LOC107965033,Gene Expression,A_mel_mkref_out,False,822
LOC551069,LOC551069,Gene Expression,A_mel_mkref_out,False,53752
LOC725748,LOC725748,Gene Expression,A_mel_mkref_out,False,15592
LOC551406,LOC551406,Gene Expression,A_mel_mkref_out,False,8491
LOC409739,LOC409739,Gene Expression,A_mel_mkref_out,False,13937
Crz,GeneID_503862,Gene Expression,A_mel_mkref_out,False,3901
