"","deviance"
"LOC107994815",337.880623992661
"LOC133666593",3077.07081676454
"LOC107994813",3225.83427460388
"LOC133666592",512.055383233947
"LOC114577112",2318.60657138176
"LOC107994808",2313.38278259177
"LOC114577114",1223.54395218252
"LOC107994810",42273.8121409649
"LOC107994980",31668.3631815682
"LOC107994710",18880.2457834532
"LOC107994748",22023.0577211057
"LOC107994754",8051.69529467974
"LOC107994946",19023.0418035353
"LOC133666591",10361.3814324271
"LOC107994947",18773.8864076075
"LOC107995001",23308.0485552066
"LOC107995002",9443.23856367802
"LOC107994707",52471.1849933814
"LOC107995015",31564.8349677678
"LOC107994928",58870.4226996035
"LOC133666594",2935.49216142616
"LOC107994927",81866.5485546371
"LOC107994944",72744.3436558926
"LOC114577088",657.903988454823
"LOC107994945",1728.69337388456
"LOC107994752",4700.07163093974
"LOC107995006",22444.9643434452
"LOC107994907",31976.5606736427
"LOC133666608",575.228025077775
"LOC114577079",4315.86705283774
"LOC114577105",349.959300000591
"LOC107994741",2821.04177285921
"LOC133666631",1223.95229044074
"LOC133666634",6850.82890909789
"LOC107994827",19593.989273826
"LOC133666628",38102.2754986808
"LOC107994826",28540.7544639116
"LOC133666632",2043.13031786395
"LOC107994824",25024.2443838655
"LOC107994830",11951.5242867506
"LOC107994989",13443.2808257062
"LOC107994988",3405.23284083668
"LOC107994916",32393.0112751706
"LOC107994915",26611.9655663876
"LOC107994910",17649.6831436323
"LOC114577140",448.243811354994
"LOC107994911",31100.5504551674
"LOC107994859",179575.78676486
"LOC107994860",27237.8413059725
"LOC133665647",2436.75744970942
"LOC107994715",1148.63446413808
"LOC107994823",42003.7019339071
"LOC114577101",9565.14596277389
"LOC133666664",4749.54986857844
"LOC133666665",2977.16545452172
"LOC114577102",2124.0231464227
"LOC114577099",709.883268146384
"LOC107994822",11159.0639011579
"LOC107994821",1491.42297188878
"LOC107994745",24269.4539185849
"LOC107994837",30272.175874775
"LOC107994836",11029.7327843819
"LOC107994835",29870.9800273661
"LOC107994834",772.562215157958
"LOC107994674",11011.5124021204
"LOC107994833",29663.4392633783
"LOC107994832",29350.1052056938
"LOC107994831",27167.6257453685
"LOC107994800",26350.8475189969
"LOC107994799",30899.8415952446
"LOC107994797",67580.8865076196
"LOC133666693",4099.66890394312
"LOC133666689",1317.57721332676
"LOC133666690",767.534756330961
"LOC107994802",1104.71941376183
"LOC133666688",422.749511100832
"LOC133666679",3004.74147505811
"LOC133666687",385.210221800959
"LOC107994722",8260.09724337929
"LOC107994901",36966.315528661
"LOC107994903",31716.3836181372
"LOC107994701",25215.4115865896
"LOC107994936",1412.7641779885
