gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107994995,LOC107994995,Gene Expression,A_cer_mkref_out,False,2966
LOC107994969,LOC107994969,Gene Expression,A_cer_mkref_out,False,18750
LOC107994691,LOC107994691,Gene Expression,A_cer_mkref_out,False,4953
LOC107994675,LOC107994675,Gene Expression,A_cer_mkref_out,False,17015
LOC107994815,LOC107994815,Gene Expression,A_cer_mkref_out,False,24
LOC133666593,LOC133666593,Gene Expression,A_cer_mkref_out,False,350
LOC107994813,LOC107994813,Gene Expression,A_cer_mkref_out,False,354
LOC133666592,LOC133666592,Gene Expression,A_cer_mkref_out,False,40
LOC114577112,LOC114577112,Gene Expression,A_cer_mkref_out,False,241
LOC107994808,LOC107994808,Gene Expression,A_cer_mkref_out,False,230
LOC114577114,LOC114577114,Gene Expression,A_cer_mkref_out,False,116
LOC107994810,LOC107994810,Gene Expression,A_cer_mkref_out,False,22954
LOC107994980,LOC107994980,Gene Expression,A_cer_mkref_out,False,12419
LOC107994710,LOC107994710,Gene Expression,A_cer_mkref_out,False,5125
LOC107994748,LOC107994748,Gene Expression,A_cer_mkref_out,False,7042
LOC107994754,LOC107994754,Gene Expression,A_cer_mkref_out,False,1303
LOC107994946,LOC107994946,Gene Expression,A_cer_mkref_out,False,4372
LOC133666591,LOC133666591,Gene Expression,A_cer_mkref_out,False,1729
LOC107994947,LOC107994947,Gene Expression,A_cer_mkref_out,False,5288
LOC107995001,LOC107995001,Gene Expression,A_cer_mkref_out,False,7337
LOC107995002,LOC107995002,Gene Expression,A_cer_mkref_out,False,1676
LOC107994707,LOC107994707,Gene Expression,A_cer_mkref_out,False,24980
LOC107995015,LOC107995015,Gene Expression,A_cer_mkref_out,False,8852
LOC107994928,LOC107994928,Gene Expression,A_cer_mkref_out,False,18704
LOC133666594,LOC133666594,Gene Expression,A_cer_mkref_out,False,317
LOC107994927,LOC107994927,Gene Expression,A_cer_mkref_out,False,14563
LOC107994944,LOC107994944,Gene Expression,A_cer_mkref_out,False,26767
LOC114577088,LOC114577088,Gene Expression,A_cer_mkref_out,False,54
LOC107994945,LOC107994945,Gene Expression,A_cer_mkref_out,False,174
LOC107994752,LOC107994752,Gene Expression,A_cer_mkref_out,False,610
LOC107995006,LOC107995006,Gene Expression,A_cer_mkref_out,False,7366
LOC107994907,LOC107994907,Gene Expression,A_cer_mkref_out,False,5473
LOC133666608,LOC133666608,Gene Expression,A_cer_mkref_out,False,46
LOC114577079,LOC114577079,Gene Expression,A_cer_mkref_out,False,506
LOC114577105,LOC114577105,Gene Expression,A_cer_mkref_out,False,25
LOC107994741,LOC107994741,Gene Expression,A_cer_mkref_out,False,303
LOC133666631,LOC133666631,Gene Expression,A_cer_mkref_out,False,113
LOC133666634,LOC133666634,Gene Expression,A_cer_mkref_out,False,970
LOC107994827,LOC107994827,Gene Expression,A_cer_mkref_out,False,5481
LOC133666628,LOC133666628,Gene Expression,A_cer_mkref_out,False,18378
LOC107994826,LOC107994826,Gene Expression,A_cer_mkref_out,False,14076
LOC133666632,LOC133666632,Gene Expression,A_cer_mkref_out,False,210
LOC107994824,LOC107994824,Gene Expression,A_cer_mkref_out,False,4055
LOC107994830,LOC107994830,Gene Expression,A_cer_mkref_out,False,1811
LOC107994989,LOC107994989,Gene Expression,A_cer_mkref_out,False,2762
LOC107994988,LOC107994988,Gene Expression,A_cer_mkref_out,False,243
LOC107994916,LOC107994916,Gene Expression,A_cer_mkref_out,False,17680
LOC107994915,LOC107994915,Gene Expression,A_cer_mkref_out,False,11038
LOC107994910,LOC107994910,Gene Expression,A_cer_mkref_out,False,639
LOC114577140,LOC114577140,Gene Expression,A_cer_mkref_out,False,32
LOC107994911,LOC107994911,Gene Expression,A_cer_mkref_out,False,24967
LOC107994859,LOC107994859,Gene Expression,A_cer_mkref_out,False,26706
LOC107994860,LOC107994860,Gene Expression,A_cer_mkref_out,False,9564
LOC133665647,LOC133665647,Gene Expression,A_cer_mkref_out,False,260
LOC107994715,LOC107994715,Gene Expression,A_cer_mkref_out,False,70
LOC107994823,LOC107994823,Gene Expression,A_cer_mkref_out,False,24200
LOC114577101,LOC114577101,Gene Expression,A_cer_mkref_out,False,1547
LOC133666664,LOC133666664,Gene Expression,A_cer_mkref_out,False,573
LOC133666665,LOC133666665,Gene Expression,A_cer_mkref_out,False,349
LOC114577102,LOC114577102,Gene Expression,A_cer_mkref_out,False,212
LOC114577099,LOC114577099,Gene Expression,A_cer_mkref_out,False,58
LOC107994822,LOC107994822,Gene Expression,A_cer_mkref_out,False,2179
LOC107994821,LOC107994821,Gene Expression,A_cer_mkref_out,False,144
LOC107994745,LOC107994745,Gene Expression,A_cer_mkref_out,False,8189
LOC107994837,LOC107994837,Gene Expression,A_cer_mkref_out,False,14603
LOC107994836,LOC107994836,Gene Expression,A_cer_mkref_out,False,2092
LOC107994835,LOC107994835,Gene Expression,A_cer_mkref_out,False,15519
LOC107994834,LOC107994834,Gene Expression,A_cer_mkref_out,False,60
LOC107994674,LOC107994674,Gene Expression,A_cer_mkref_out,False,1956
LOC107994833,LOC107994833,Gene Expression,A_cer_mkref_out,False,13110
LOC107994832,LOC107994832,Gene Expression,A_cer_mkref_out,False,15467
LOC107994831,LOC107994831,Gene Expression,A_cer_mkref_out,False,9412
LOC107994800,LOC107994800,Gene Expression,A_cer_mkref_out,False,9815
LOC107994799,LOC107994799,Gene Expression,A_cer_mkref_out,False,13291
LOC107994797,LOC107994797,Gene Expression,A_cer_mkref_out,False,14037
LOC133666693,LOC133666693,Gene Expression,A_cer_mkref_out,False,510
LOC133666689,LOC133666689,Gene Expression,A_cer_mkref_out,False,119
LOC133666690,LOC133666690,Gene Expression,A_cer_mkref_out,False,65
LOC107994802,LOC107994802,Gene Expression,A_cer_mkref_out,False,103
LOC133666688,LOC133666688,Gene Expression,A_cer_mkref_out,False,33
LOC133666679,LOC133666679,Gene Expression,A_cer_mkref_out,False,318
LOC133666687,LOC133666687,Gene Expression,A_cer_mkref_out,False,27
LOC107994722,LOC107994722,Gene Expression,A_cer_mkref_out,False,1340
LOC107994901,LOC107994901,Gene Expression,A_cer_mkref_out,False,26302
LOC107994903,LOC107994903,Gene Expression,A_cer_mkref_out,False,14569
LOC107994701,LOC107994701,Gene Expression,A_cer_mkref_out,False,8932
LOC107994936,LOC107994936,Gene Expression,A_cer_mkref_out,False,135
LOC107994935,LOC107994935,Gene Expression,A_cer_mkref_out,False,159
LOC107995014,LOC107995014,Gene Expression,A_cer_mkref_out,False,90
LOC107994755,LOC107994755,Gene Expression,A_cer_mkref_out,False,22
LOC107994963,LOC107994963,Gene Expression,A_cer_mkref_out,False,90
LOC133666718,LOC133666718,Gene Expression,A_cer_mkref_out,False,1810
LOC114577122,LOC114577122,Gene Expression,A_cer_mkref_out,False,990
LOC107994978,LOC107994978,Gene Expression,A_cer_mkref_out,False,6595
LOC107994979,LOC107994979,Gene Expression,A_cer_mkref_out,False,205
LOC107994673,LOC107994673,Gene Expression,A_cer_mkref_out,False,552
